Username,ID,Trial,Question,Type,RT,Response
testCSV,svhkgj6med,1,"Did the experiment go smoothly or were there problems? (Note: Your compensation will not depend on your answer below, so please be honest.)!!!",Radio,1436,'MinorBumps'
testCSV,svhkgj6med,2,"Have you participated in this experiment (or another experiment using the same learning materials) before?",Radio,1015,'DoneItBefore'
testCSV,svhkgj6med,3,"How much fun was this experiment?    <p>1 being very fun  --  7 being the MOST FUN EVER</p>",Likert,1751,4
testCSV,svhkgj6med,4,"Were you doing anything else while this experiment was going on?  You will get credit no matter how you respond here.",Text,493,
testCSV,svhkgj6med,5,"Which of the following problems did you have?",Checkbox,823,
condFix,eyppr41kz0,1,"Did the experiment go smoothly or were there problems? (Note: Your compensation will not depend on your answer below, so please be honest.)!!!",Radio,1016,'Smooth'
condFix,eyppr41kz0,2,"Have you participated in this experiment (or another experiment using the same learning materials) before?",Radio,407,
condFix,eyppr41kz0,3,"How much fun was this experiment?    <p>1 being very fun  --  7 being the MOST FUN EVER</p>",Likert,484,1
condFix,eyppr41kz0,4,"Were you doing anything else while this experiment was going on?  You will get credit no matter how you respond here.",Text,761,
condFix,eyppr41kz0,5,"Which of the following problems did you have?",Checkbox,474,
