Username,ID,ExperimentName,Session,Trial,Date,TimeDif,"Condition Number","Stimuli File","Order File","Condition Description","Condition Notes",Stimuli*Cue,Stimuli*Answer,Stimuli*Shuffle,"Stimuli*Stimuli Notes",Procedure*Item,"Procedure*Trial Type",Procedure*Timing,"Procedure*Post 1 Trial Type","Procedure*Post 1 Timing","Procedure*Procedure Notes",Procedure*Shuffle,Procedure*Settings,Response*Accuracy,Response*Guess,Response*LoopCount,Response*NewConfidence,Response*OldConfidence,Response*OldNewChoice,Response*Performance,Response*RT,Response*RTkey,Response*RTlast,Response*Response,Response*ResponseComplete,Response*lenientAcc,Response*strictAcc,Response*post1_Accuracy,Response*post1_JOL,Response*post1_RT,Response*post1_RTkey,Response*post1_RTlast,Response*post1_Response,Response*post1_lenientAcc,Response*post1_strictAcc
condFix,eyppr41kz0,Collector,1,1,2014-07-18T18:36:33+00:00,2.5099470615387,11,FullStim.csv,"All Trials.csv","Examples of all presentations","user controlled so I can edit css",Dog,Cat,bananna,"high associates",2,Study,User,JOL,User,"study trials",OFF,,,,,,,,,883,,,,,,,,123,1554,823,950,,,
condFix,eyppr41kz0,Collector,1,2,2014-07-18T18:36:34+00:00,1.158047914505,11,FullStim.csv,"All Trials.csv","Examples of all presentations","user controlled so I can edit css",Dog,Cat,bananna,"high associates",2,Likert,User,No,User,"How good of a cue is ""$cue"" for the answer ""$answer""? | So bad | So-so | So good!",OFF,-2::2(.5),0,,,,,,,1114,"no press","no press",0.5,,0,0,,,,,,,,
condFix,eyppr41kz0,Collector,1,3,2014-07-18T18:36:35+00:00,1.0620629787445,11,FullStim.csv,"All Trials.csv","Examples of all presentations","user controlled so I can edit css",Audio/chime.wav,none,other,sounds,14,Audio,User,No,User,"study trials",OFF,,,,,,,,,1010,,,,,,,,,,,,,,
condFix,eyppr41kz0,Collector,1,4,2014-07-18T18:36:36+00:00,1.2860860824585,11,FullStim.csv,"All Trials.csv","Examples of all presentations","user controlled so I can edit css",Word,Pair,bananna,"high associates",4,Copy,User,No,User,"study trials",OFF,,0,,,,,,,1243,560,984,2321,,0,0,,,,,,,,
condFix,eyppr41kz0,Collector,1,5,2014-07-18T18:36:37+00:00,0.85613393783569,11,FullStim.csv,"All Trials.csv","Examples of all presentations","user controlled so I can edit css",Word,Pair,bananna,"high associates",4,DelayCopy,User,No,User,"study trials",OFF,,22.222222222222,,,,,,,810,257,648,asdad,,0,0,,,,,,,,
condFix,eyppr41kz0,Collector,1,6,2014-07-18T18:36:38+00:00,0.99899697303772,11,FullStim.csv,"All Trials.csv","Examples of all presentations","user controlled so I can edit css","<p>GRE scores are a pre requisite for admissions to programs of graduate study offered by colleges in the US, Canada and some other countries. The GRE General test does not assess your knowledge in any particular area of study; rather it is a test of your verbal reasoning, critical thinking, quantitative reasoning and analytical writing skills. For the purpose of testing these skills, the GRE exam format is based on three sections. These are the Verbal Reasoning, Quantitative Reasoning and the Analytical Writing sections.</p> <p>The Verbal Reasoning section of the GRE is a test of your abilities to analyze a given text by deriving information from it. Your skills related to understanding the structure of sentences and analyzing the relationships between the words contained therein are tested by this section of the GRE. This section of the GRE consists of questions based on analogies, antonyms, sentence completions and reading comprehension. You will generally be presented with three or more GRE reading comprehension passages in the Verbal Reasoning section.</p> <p>The GRE reading comprehension questions will test your ability to analyze a given passage. You will have to read the passage carefully to grasp the actual meaning that is intended to be conveyed through the passage. This can be achieved by studying the GRE reading comprehension passage from all perspectives. You will have to identify all ideas that have been presented in the GRE reading comprehension passage either explicitly or implicitly. You should be familiar with the process of segregating the conclusions from the arguments that have been presented in the GRE reading comprehension passage. This would be essential for answering the questions that follow the given passage.</p>",N/A,bananna,"Critical Passage",11,Passage,User,No,User,"study trials",OFF,,,,,,,,,948,,,,,,,,,,,,,,
condFix,eyppr41kz0,Collector,1,7,2014-07-18T18:36:40+00:00,1.6090891361237,11,FullStim.csv,"All Trials.csv","Examples of all presentations","user controlled so I can edit css",images/I.jpg,"Led Zepplin",picturebank,"album covers",10,StudyPic,User,Feedback,User,"study trials",OFF,,,,,,,,,729,,,,,,,,,798,,,,,
condFix,eyppr41kz0,Collector,1,8,2014-07-18T18:36:42+00:00,1.9330818653107,11,FullStim.csv,"All Trials.csv","Examples of all presentations","user controlled so I can edit css",images/I.jpg,"Led Zepplin",picturebank,"album covers",10,TestPic,User,No,User,inputs,OFF,,27.272727272727,,,,,,,1889,665,1752,azxcedrwerw,,0,0,,,,,,,,
condFix,eyppr41kz0,Collector,1,9,2014-07-18T18:36:42+00:00,0.56904911994934,11,FullStim.csv,"All Trials.csv","Examples of all presentations","user controlled so I can edit css",images/I.jpg,"Led Zepplin",picturebank,"album covers",10,MCpic,User,No,User,inputs,OFF,,0,,,,,,,524,"no press","no press",Cat9,,0,0,,,,,,,,
condFix,eyppr41kz0,Collector,1,10,2014-07-18T18:36:46+00:00,3.2911779880524,11,FullStim.csv,"All Trials.csv","Examples of all presentations","user controlled so I can edit css",Funny,Bone,bananna,"high associates",3,Test,User,Feedback,User,inputs,OFF,,0,,,,,,,2494,1203,2258,txzcxzx,,0,0,,,714,,,,,
