Item	Trial Type	Post Trial	Timing	MinTime	Procedure Notes	Shuffle
2	Study	No	User		low assoc	block1
6	Study	No	User		hi assoc	block1
2	Study	No	Computer		low assoc	compBlock
6	Study	No	Computer		hi assoc	compBlock
2	Study	No	7		low assoc	custom time
6	Study	No	14		hi assoc	custom time
2	Test	No	Computer		low assoc	x
6	Test	Feedback	15		hi assoc	x
2	Study	No	User	2	low assoc	block1
6	Study	No	User	2	hi assoc	block1
2	Study	No	Computer	2	low assoc	compBlock
6	Study	No	Computer	2	hi assoc	compBlock
2	Study	No	7	2	low assoc	custom time
6	Study	No	14	2	hi assoc	custom time
2	Test	No	Computer	2	low assoc	x
6	Test	Feedback	15	2	hi assoc	x
