Cue	Answer	Shuffle	Stimuli Notes
Dog	Cat	off	high associates
Word	Pair	off	high associates
Funny	Bone	off	high associates
Mountain	Door	zoinks	low associate
Whale	Rocket	zoinks	low associate
Laptop	Swing	zoinks	low associate
images/bringing it all back home.jpg	Bob Dylan	picturebank	album covers
images/I.jpg	Led Zepplin	picturebank	album covers
images/operation doomsday.jpg	MF DOOM	picturebank	album covers
"<p>The standard Lorem Ipsum passage, used since the 1500s</p>

<p>""Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum.""
Section 1.10.32 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</p>

<p>""Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur?""
1914 translation by H. Rackham</p>

<p>""But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness. No one rejects, dislikes, or avoids pleasure itself, because it is pleasure, but because those who do not know how to pursue pleasure rationally encounter consequences that are extremely painful. Nor again is there anyone who loves or pursues or desires to obtain pain of itself, because it is pain, but because occasionally circumstances occur in which toil and pain can procure him some great pleasure. To take a trivial example, which of us ever undertakes laborious physical exercise, except to obtain some advantage from it? But who has any right to find fault with a man who chooses to enjoy a pleasure that has no annoying consequences, or one who avoids a pain that produces no resultant pleasure?""<br />
Section 1.10.33 of ""de Finibus Bonorum et Malorum"", written by Cicero in 45 BC</p>

<p>""At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae. Itaque earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat.""
1914 translation by H. Rackham</p>

<p>""On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish. In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains.""</p>"	N/A	bananna	filler passage
"<p>GRE scores are a pre requisite for admissions to programs of graduate study offered by colleges in the US, Canada and some other countries. The GRE General test does not assess your knowledge in any particular area of study; rather it is a test of your verbal reasoning, critical thinking, quantitative reasoning and analytical writing skills. For the purpose of testing these skills, the GRE exam format is based on three sections. These are the Verbal Reasoning, Quantitative Reasoning and the Analytical Writing sections.</p>
<p>The Verbal Reasoning section of the GRE is a test of your abilities to analyze a given text by deriving information from it. Your skills related to understanding the structure of sentences and analyzing the relationships between the words contained therein are tested by this section of the GRE. This section of the GRE consists of questions based on analogies, antonyms, sentence completions and reading comprehension. You will generally be presented with three or more GRE reading comprehension passages in the Verbal Reasoning section.</p>
<p>The GRE reading comprehension questions will test your ability to analyze a given passage. You will have to read the passage carefully to grasp the actual meaning that is intended to be conveyed through the passage. This can be achieved by studying the GRE reading comprehension passage from all perspectives. You will have to identify all ideas that have been presented in the GRE reading comprehension passage either explicitly or implicitly. You should be familiar with the process of segregating the conclusions from the arguments that have been presented in the GRE reading comprehension passage. This would be essential for answering the questions that follow the given passage.</p>
"	N/A	bananna	Critical Passage
