Item	Trial Type	Post Trial	Timing	Order Notes	Shuffle	Phase	Initial Block
2	Study	No	Computer	study only	1	Study Phase	1
3	Test	Feedback	Computer	right	1	Study Phase	1
4	Study	Feedback	Computer	wrong	1	Study Phase	1
5	Study	No	Computer	study only	1	Study Phase	1
6	Test	Feedback	Computer	right	1	Study Phase	1
7	Study	Feedback	Computer	wrong	1	Study Phase	1
8	Study	No	Computer	study only	1	Study Phase	2
9	Test	Feedback	Computer	right	1	Study Phase	2
10	Study	Feedback	Computer	wrong	1	Study Phase	2
11	Study	No	Computer	study only	1	Study Phase	2
12	Test	Feedback	Computer	right	1	Study Phase	2
13	Study	Feedback	Computer	wrong	1	Study Phase	2
14	Study	No	Computer	study only	2	Study Phase	3
15	Test	Feedback	Computer	right	2	Study Phase	3
16	Study	Feedback	Computer	wrong	2	Study Phase	3
17	Study	No	Computer	study only	2	Study Phase	3
18	Test	Feedback	Computer	right	2	Study Phase	3
19	Study	Feedback	Computer	wrong	2	Study Phase	3
20	Study	No	Computer	study only	2	Study Phase	4
21	Test	Feedback	Computer	right	2	Study Phase	4
22	Study	Feedback	Computer	wrong	2	Study Phase	4
23	Study	No	Computer	study only	2	Study Phase	4
24	Test	Feedback	Computer	right	2	Study Phase	4
25	Study	Feedback	Computer	wrong	2	Study Phase	4
26	Study	No	Computer	study only	3	Study Phase	5
27	Test	Feedback	Computer	right	3	Study Phase	5
28	Study	Feedback	Computer	wrong	3	Study Phase	5
29	Study	No	Computer	study only	3	Study Phase	5
30	Test	Feedback	Computer	right	3	Study Phase	5
31	Study	Feedback	Computer	wrong	3	Study Phase	5
32	Study	No	Computer	study only	3	Study Phase	6
33	Test	Feedback	Computer	right	3	Study Phase	6
34	Study	Feedback	Computer	wrong	3	Study Phase	6
35	Study	No	Computer	study only	3	Study Phase	6
36	Test	Feedback	Computer	right	3	Study Phase	6
37	Study	Feedback	Computer	wrong	3	Study Phase	6
38	Study	No	Computer	study only	4	Study Phase	7
39	Test	Feedback	Computer	right	4	Study Phase	7
40	Study	Feedback	Computer	wrong	4	Study Phase	7
