Item	Trial Type	Post Trial	Timing	Order Notes	Shuffle
2	Study	No	Computer	study trials	OFF
3	Study	No	Computer	study trials	OFF
4	Study	No	Computer	study trials	OFF
5	Study	No	Computer	study trials	OFF
6	Study	No	Computer	study trials	OFF
7	Study	No	Computer	study trials	OFF
8	Study	No	Computer	study trials	OFF
9	Study	No	Computer	study trials	OFF
10	Study	No	Computer	study trials	OFF
11	Study	No	Computer	study trials	OFF
12	Study	No	Computer	study trials	OFF
13	Study	No	Computer	study trials	OFF
14	Study	No	Computer	study trials	OFF
15	Study	No	Computer	study trials	OFF
16	Study	No	Computer	study trials	OFF
17	Study	No	Computer	study trials	OFF
18	Study	No	Computer	study trials	OFF
19	Study	No	Computer	study trials	OFF
20	Study	No	Computer	study trials	OFF
