Cue	Target	Answer	Shuffle	Shuffle2	Stimuli Notes
a1	A	A	alpha	1	doesn't matter
a2	A	A	alpha	1	doesn't matter
a3	A	A	alpha	1	doesn't matter
b1	B	B	bravo	1	doesn't matter
b2	B	B	bravo	1	doesn't matter
b3	B	B	bravo	1	doesn't matter
c1	C	C	charlie	1	doesn't matter
c2	C	C	charlie	1	doesn't matter
c3	C	C	charlie	1	doesn't matter
d1	D	D	delta	2	doesn't matter
d2	D	D	delta	2	doesn't matter
e1	E	E	epsilon	2	doesn't matter
e2	E	E	epsilon	2	doesn't matter
f1	F	F	fuuu	off	doesn't matter
f2	F	F	fuuu	off	doesn't matter
g1	G	G	gamma	off	doesn't matter
g2	G	G	gamma	off	doesn't matter
g3	G	G	gamma	off	doesn't matter
g4	G	G	gamma	off	doesn't matter
