Cue	Target	Answer	Shuffle	Stimuli Notes
Whale	Mammal	Mammal	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Train	Caboose	Caboose	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Nurse	White	White	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Golf	Sport	Sport	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Scare	Fear	Fear	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Doll	Child	Child	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Reason	Think	Think	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Jelly	Bread	Bread	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Usurp	Take	Take	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Peaceful	Tranquil	Tranquil	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Plot	Theme	Theme	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Routine	Standard	Standard	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Trailer	House	House	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Helmet	Head	Head	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Cord	Plug	Plug	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Mouse	Hole	Hole	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Cane	Able	Able	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Vacate	Move	Move	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Sparrow	Robin	Robin	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Graduation	College	College	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Hill	Valley	Valley	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Vanity	Vain	Vain	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Envy	Like	Like	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Aspirin	Drug	Drug	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Constitution	Government	Government	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Pond	Frog	Frog	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Hive	Itch	Itch	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Stand	Fall	Fall	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Stadium	Concert	Concert	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Cinnamon	Roll	Roll	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Antler	Horn	Horn	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Factory	Plant	Plant	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Angle	Curve	Curve	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Linen	Towel	Towel	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Cloak	Cape	Cape	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Grow	Shrink	Shrink	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Holy	Priest	Priest	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Freckle	Mole	Mole	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Skyscraper	Tower	Tower	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Discussion	Lecture	Lecture	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Knowledge	Intelligence	Intelligence	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Caravan	Family	Family	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Pine	Needle	Needle	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Swim	Float	Float	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Demolish	Wreck	Wreck	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Fragile	Weak	Weak	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Feel	Good	Good	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Prohibit	Deny	Deny	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Orange	Tangerine	Tangerine	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Ceremony	Marriage	Marriage	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Star	Night	Night	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Semester	Class	Class	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Well	Done	Done	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Situation	Comedy	Comedy	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Chisel	Sculpture	Sculpture	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Olive	Branch	Branch	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Wire	Live	Live	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Summer	Spring	Spring	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Professor	Teach	Teach	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
Sickle	Hammer	Hammer	Shuffle All	"Kornell, Hays, Bjork 2009; Failed Retrieval"
