Username	FinalQuestions	Trial	Question	Type	RT	Response
jcvtyfygh	FinalQuestions	1	Did the experiment go smoothly or were there problems? (Note: Your compensation will not depend on your answer below, so please be honest.)!!!	Radio	2150	
jcvtyfygh	FinalQuestions	2	Have you participated in this experiment (or another experiment using the same learning materials) before?	Radio	5250	
jcvtyfygh	FinalQuestions	3	How much fun was this experiment?    <p>1 being very fun  --  7 being the MOST FUN EVER</p>	Likert	1100	
jcvtyfygh	FinalQuestions	4	Were you doing anything else while this experiment was going on?  You will get credit no matter how you respond here.	Text	2500	
jcvtyfygh	FinalQuestions	5	Which of the following problems did you have?	Checkbox	1900	internet connectivity problems
sdjbnogjhkjekjn	FinalQuestions	1	Did the experiment go smoothly or were there problems? (Note: Your compensation will not depend on your answer below, so please be honest.)!!!	Radio	3600	
sdjbnogjhkjekjn	FinalQuestions	2	Have you participated in this experiment (or another experiment using the same learning materials) before?	Radio	1650	
sdjbnogjhkjekjn	FinalQuestions	3	How much fun was this experiment?    <p>1 being very fun  --  7 being the MOST FUN EVER</p>	Likert	1650	
sdjbnogjhkjekjn	FinalQuestions	4	Were you doing anything else while this experiment was going on?  You will get credit no matter how you respond here.	Text	1800	
sdjbnogjhkjekjn	FinalQuestions	5	Which of the following problems did you have?	Checkbox	1550	none
ejkbhgbhkj	FinalQuestions	1	Did the experiment go smoothly or were there problems? (Note: Your compensation will not depend on your answer below, so please be honest.)!!!	Radio	4450	
ejkbhgbhkj	FinalQuestions	2	Have you participated in this experiment (or another experiment using the same learning materials) before?	Radio	1650	
ejkbhgbhkj	FinalQuestions	3	How much fun was this experiment?    <p>1 being very fun  --  7 being the MOST FUN EVER</p>	Likert	11200	
