*Username	*ExperimentName	*Session	*Trial	*Date	*Condition Number	*Stimuli File	*Order File	*Condition Description	*Condition Notes	Stimuli*Cue	Stimuli*Target	Stimuli*Answer	Stimuli*Shuffle	Stimuli*Stimuli Notes	Info*Item	Info*Trial Type	Info*Feedback	Info*Timing	Info*Order Notes	Info*Shuffle	Response*Response1	Response*Response2	Response*RT	Response*RTkey	Response*strictAcc	Response*lenientAcc	Response*Accuracy
weohighijn	Generic v2	1	1	2012-05-11T23:00:39+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	Funny	Bone	bonez	bananna	high associates	2	Study	No	User	study trials	OFF			1250				
weohighijn	Generic v2	1	2	2012-05-11T23:00:43+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	Word	Pair	Pair	bananna	high associates	3	Study	No	Computer	study trials	OFF			3000				
weohighijn	Generic v2	1	3	2012-05-11T23:00:51+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	Dog	Cat	Cat	bananna	high associates	4	Study	No	7	study trials	OFF			7000				
weohighijn	Generic v2	1	4	2012-05-11T23:00:58+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	Whale	Rocket	Rocket	zoinks	low associate	5	Test	Yes	Computer	inputs	OFF	djsodjhf		5000	4760	0	0	14.285714285714
weohighijn	Generic v2	1	5	2012-05-11T23:01:07+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	Mountain	Door	Door	zoinks	low associate	6	Copy	No	8	inputs	OFF	doorz		8000	6350	0	1	88.888888888889
weohighijn	Generic v2	1	6	2012-05-11T23:01:12+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	Whale	Rocket	Rocket	zoinks	low associate	5	JOL	No	User	inputs	OFF	50		4600	2970			
weohighijn	Generic v2	1	7	2012-05-11T23:01:16+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	<p>The standard Lorem Ipsum passage, used since the 1500s</p> <br />  <br />  <br />  <br /> <p>"Lorem ipsum dolor sit amet, consectetur adipisicing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat. Duis aute irure dolor in reprehenderit in voluptate velit esse cillum dolore eu fugiat nulla pariatur. Excepteur sint occaecat cupidatat non proident, sunt in culpa qui officia deserunt mollit anim id est laborum." <br />  <br /> Section 1.10.32 of "de Finibus Bonorum et Malorum", written by Cicero in 45 BC</p> <br />  <br />  <br />  <br /> <p>"Sed ut perspiciatis unde omnis iste natus error sit voluptatem accusantium doloremque laudantium, totam rem aperiam, eaque ipsa quae ab illo inventore veritatis et quasi architecto beatae vitae dicta sunt explicabo. Nemo enim ipsam voluptatem quia voluptas sit aspernatur aut odit aut fugit, sed quia consequuntur magni dolores eos qui ratione voluptatem sequi nesciunt. Neque porro quisquam est, qui dolorem ipsum quia dolor sit amet, consectetur, adipisci velit, sed quia non numquam eius modi tempora incidunt ut labore et dolore magnam aliquam quaerat voluptatem. Ut enim ad minima veniam, quis nostrum exercitationem ullam corporis suscipit laboriosam, nisi ut aliquid ex ea commodi consequatur? Quis autem vel eum iure reprehenderit qui in ea voluptate velit esse quam nihil molestiae consequatur, vel illum qui dolorem eum fugiat quo voluptas nulla pariatur?" <br />  <br /> 1914 translation by H. Rackham</p> <br />  <br />  <br />  <br /> <p>"But I must explain to you how all this mistaken idea of denouncing pleasure and praising pain was born and I will give you a complete account of the system, and expound the actual teachings of the great explorer of the truth, the master-builder of human happiness. No one rejects, dislikes, or avoids pleasure itself, because it is pleasure, but because those who do not know how to pursue pleasure rationally encounter consequences that are extremely painful. Nor again is there anyone who loves or pursues or desires to obtain pain of itself, because it is pain, but because occasionally circumstances occur in which toil and pain can procure him some great pleasure. To take a trivial example, which of us ever undertakes laborious physical exercise, except to obtain some advantage from it? But who has any right to find fault with a man who chooses to enjoy a pleasure that has no annoying consequences, or one who avoids a pain that produces no resultant pleasure?"<br /> <br />  <br /> Section 1.10.33 of "de Finibus Bonorum et Malorum", written by Cicero in 45 BC</p> <br />  <br />  <br />  <br /> <p>"At vero eos et accusamus et iusto odio dignissimos ducimus qui blanditiis praesentium voluptatum deleniti atque corrupti quos dolores et quas molestias excepturi sint occaecati cupiditate non provident, similique sunt in culpa qui officia deserunt mollitia animi, id est laborum et dolorum fuga. Et harum quidem rerum facilis est et expedita distinctio. Nam libero tempore, cum soluta nobis est eligendi optio cumque nihil impedit quo minus id quod maxime placeat facere possimus, omnis voluptas assumenda est, omnis dolor repellendus. Temporibus autem quibusdam et aut officiis debitis aut rerum necessitatibus saepe eveniet ut et voluptates repudiandae sint et molestiae non recusandae. Itaque earum rerum hic tenetur a sapiente delectus, ut aut reiciendis voluptatibus maiores alias consequatur aut perferendis doloribus asperiores repellat." <br />  <br /> 1914 translation by H. Rackham</p> <br />  <br />  <br />  <br /> <p>"On the other hand, we denounce with righteous indignation and dislike men who are so beguiled and demoralized by the charms of pleasure of the moment, so blinded by desire, that they cannot foresee the pain and trouble that are bound to ensue; and equal blame belongs to those who fail in their duty through weakness of will, which is the same as saying through shrinking from toil and pain. These cases are perfectly simple and easy to distinguish. In a free hour, when our power of choice is untrammelled and when nothing prevents our being able to do what we like best, every pleasure is to be welcomed and every pain avoided. But in certain circumstances and owing to the claims of duty or the obligations of business it will frequently occur that pleasures have to be repudiated and annoyances accepted. The wise man therefore always holds in these matters to this principle of selection: he rejects pleasures to secure other greater pleasures, or else he endures pains to avoid worse pains."</p>	N/A	N/A	bananna	filler passage	11	Passage	No	User	new trials	OFF			3470				
weohighijn	Generic v2	1	8	2012-05-11T23:01:37+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	n/a	n/a	n/a	n/a	n/a	0	StepOut	N/A	20	soTetris.php	OFF							
weohighijn	Generic v2	1	9	2012-05-11T23:01:53+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	n/a	n/a	n/a	n/a	n/a	0	FreeRecall	N/A	15	Write down everything you can remember that has happened so far in this experiment.	OFF	this is a bunch of stuff i		15000	14870			
weohighijn	Generic v2	1	10	2012-05-11T23:01:55+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	images/operation doomsday.jpg	MF DOOM	MF DOOM	picturebank	album covers	8	StudyPic	No	User	whatever I want	OFF			2030				
weohighijn	Generic v2	1	11	2012-05-11T23:02:03+00:00	8	Words/FullStim.txt	Orders/Demo.txt	only one long ass study trial	testing	images/operation doomsday.jpg	MF DOOM	MF DOOM	picturebank	album covers	8	TestPic	Yes	Computer	whatever I want	OFF	d		5000	4760	0	0	25
